category,type_num,name,need_coin,description,coin_percent,exp_percent,other_percent
hat,1,Puppy Hat,200,귀여운 강아지 모자. 귀여운 것 외에 별 다른 특징은 없다.,5,0,0
hat,2,Grooming Cap,300,고양이 모자,6,0,0
hat,3,Squerrel Ear,350,다람쥐 귀가 인상적인 모자. 보들보들하다.,8,0,0
hat,4,Small Horn,380,아기사슴의 뿔을 모티브로 제작한 인형모자,12,0,0
hat,5,Turtle Head,400,반질반질한 거북이모자. 만져보고싶다.,15,0,0
hat,6,Colorful Helmet,410,떨어진 앵무새의 깃털을 모아 만든 글라디에이터 투구.,18,0,0
hat,7,Midnight Tip,450,이 모자를 쓰면 자정에도 똘망똘망하다.,20,0,0
hat,8,Bunny Ear,470,귀여운 바니의 귀.,25,0,0
hat,9,Rapid Sloth,480,세상에서 가장 빠른 나무늘보의 탈(모방품),25,0,0
hat,10,The fox Hat,500,What does the fox say~,30,0,0
hat,11,Honey Bear Hat,550,왜인지 모르겠지만 달콤한 꿀 냄새가 난다.,34,0,0
hat,12,CocaHelmet,600,코.카.콜.라.맛.있.다.,36,0,0
hat,13,Penguin Crown,580,황제펭귄의 왕관을 몰래 가져왔다.,40,0,0
hat,14,Leo Mane,700,사자왕의 갈기.,42,0,0
hat,15,TIger Mask,900,유명한 프로레슬러의 마스크.,45,0,0
hat,16,Dragonhead,3000,전설의 용기사가 쓰던 모자.,50,0,0
dress,1,DoggyBody,500,도기보디라 쓰고 누렁이탈이라 읽는다.,0,5,0
dress,2,MewMew,600,고양이는 사실 호랑이의 부캐가 아닐까?,0,6,0
dress,3,Sqaurrel Body,650,다람쥐를 닮은 인형 옷. XXL사이즈.,0,8,0
dress,4,DearDeer,680,"사슴의, 사슴에 의한, 사슴을 위한 인형옷.",0,12,0
dress,5,Turtle Ninja,700,거북이 중 가장 멋진 닌자거북이다. 중국산 닌자거북이.,0,15,0
dress,6,Parrotsuits,720,패럿슈츠.,0,18,0
dress,7,Owl's Feather,750,동글동글 폭신폭신.,0,20,0
dress,8,Bunny Boy,780,바니걸이 귀여운데..,0,25,0
